N. PROG. INVENT.,FG,MAPPALE,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA'
704,40,150,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Cavalieri di Vittorio Veneto,porzione mappale a verde pubblico,Cavalieri di Vittorio Veneto  ,DESIO
218,41,243,PAA2 100 - Beni demaniali,Terreno - Strada Comunale di San Giorgio,porzione mappale a sede stradale,Comunale di San Giorgio  ,DESIO
236,41,243,PAA2 300 - Terreni (patrimonio disponibile),Terreno - Strada Comunale di San Giorgio,porzione mappale agricolo,Comunale di San Giorgio  ,DESIO
238,42,3,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Bramante,porzione mappale commerciale,Bramante  ,DESIO
220,42,3,PAA2 100 - Beni demaniali,Terreno - via Bramante,porzione mappale a sede stradale,Bramante  ,DESIO
748,42,3,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Bramante,porzione mappale a verde pubblico,Bramante  ,DESIO
754,43,200,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Michelini,porzione mappale a verde pubblico,Michelini  ,DESIO
226,43,200,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
229,43,326,PAA2 100 - Beni demaniali,Terreno - via Canaletto,porzione mappale a sede stradale,Canaletto  ,DESIO
230,43,326,PAA2 100 - Beni demaniali,Terreno - via Canaletto,porzione mappale a sede stradale,Canaletto  ,DESIO
249,43,326,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Canaletto,porzione mappale a residenza,Canaletto  ,DESIO
225,43,342,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
753,43,342,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Michelini,porzione mappale a verde pubblico,Michelini  ,DESIO
227,43,350,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
247,43,350,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Michelini,porzione mappale a residenza,Michelini  ,DESIO
258,44,107,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Dell'Industria,porzione mappale con destinazione produttiva,Dell'Industria  ,DESIO
237,44,107,PAA2 100 - Beni demaniali,Terreno - viale Dell'Industria,porzione mappale a sede stradale,Dell'Industria  ,DESIO
232,44,53,PAA2 100 - Beni demaniali,Terreno - viale Dell'Industria,porzione mappale a sede stradale,Dell'Industria  ,DESIO
759,44,53,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - viale Dell'Industria,porzione mappale a verde pubblico,Dell'Industria  ,DESIO
769,45,65,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Don Sturzo (adiacenze),verde pubblico,Don Luigi Sturzo  ,DESIO
773,45,65,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Don Luigi Sturzo,verde pubblico,Don Luigi Sturzo  ,DESIO
780,46,185,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Adria,porzione mappale a verde pubblico,Adria  ,DESIO
242,46,185,PAA2 100 - Beni demaniali,Terreno - via Adria,porzione mappale a sede stradale,Adria  ,DESIO
244,46,233,PAA2 100 - Beni demaniali,Terreno - via Monselice,porzione mappale a sede stradale,Monselice  ,DESIO
244,46,233,PAA2 100 - Beni demaniali,Terreno - via Monselice,porzione mappale a sede stradale,Monselice  ,DESIO
369,46,233,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Monselice,porzione mappale area agricola,Monselice  ,DESIO
370,46,236,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Monselice,area agricola,Monselice  ,DESIO
271,46,236,PAA2 100 - Beni demaniali,Terreno - via Monselice,sede stradale,Monselice  ,DESIO
506,46,244,PAA2 100 - Beni demaniali,Terreno - via Monselice,porzione mapplale a sede stradale,Monselice  ,DESIO
371,46,244,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Monselice,porzione mappale area agricola,Monselice  ,DESIO
269,46,244,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Monselice,porzione mappale con destinazione produttiva,Monselice  ,DESIO
272,47,137,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Sciascia,porzione mappale con destinazione produttiva,Sciascia  ,DESIO
788,47,137,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Sciascia,porzione mappale a verde pubblico,Sciascia  ,DESIO
795,48,193,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Romagna,porzione mappale a verde pubblico,Romagna  ,DESIO
